상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
26453882,커피나무,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138062500,역촌동,1138010800,역촌동,1138010800200340018,1,대지,34,18.0,서울특별시 은평구 역촌동 34-18,113804133183,서울특별시 은평구 연서로4길,11,,1138010800100340018018453,,서울특별시 은평구 연서로4길 11,122898,3406.0,A,1,101,126.917281962519,37.6026822733164
8909984,운죽정북카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26410,금정구,2641061000,장전2동,2641010800,장전동,2641010800200300000,2,산,30,,부산광역시 금정구 장전동 30,264104205206,부산광역시 금정구 부산대학로63번길,2,1.0,2641010800200300000036088,달마사,부산광역시 금정구 부산대학로63번길 2-1,609735,46239.0,,,,129.07332239626,35.2364250187992
8805811,카페스윗,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138065000,수색동,1138010100,수색동,1138010100201100001,1,대지,110,1.0,서울특별시 은평구 수색동 110-1,113803111008,서울특별시 은평구 은평터널로,5,,1138010100101100001010455,,서울특별시 은평구 은평터널로 5,122874,3489.0,,1,,126.895799477382,37.582687569620795
8791920,문화,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26200,영도구,2620053000,남항동,2620010600,남항동2가,2620010600200530004,1,대지,53,4.0,부산광역시 영도구 남항동2가 53-4,262003128020,부산광역시 영도구 절영로,60,,2620010600100540015018834,,부산광역시 영도구 절영로 60,606802,49046.0,,2,,129.038302327864,35.089100269783
25982127,에스씨에프엔비이수역DI,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159063000,사당2동,1159010700,사당동,1159063000200860003,1,대지,86,3.0,서울특별시 동작구 사당동 86-3,115902005009,서울특별시 동작구 동작대로,135,,1159010700100860003013301,남성주유소,서울특별시 동작구 동작대로 135,156090,6997.0,,1,,126.98195912114402,37.4886900795021
26431679,카페램플릿,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165062100,방배4동,1165010100,방배동,1165010100208120023,1,대지,812,23.0,서울특별시 서초구 방배동 812-23,116504163266,서울특별시 서초구 방배로31길,8,,1165010100108120023009035,,서울특별시 서초구 방배로31길 8,137060,6562.0,,1,,126.99079495296301,37.4908833658167
26437114,카페바인,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156054000,여의동,1156011000,여의도동,1156011000200230005,1,대지,23,5.0,서울특별시 영등포구 여의도동 23-5,115602118001,서울특별시 영등포구 여의대로,56,,1156011000100230005031185,한화증권빌딩,서울특별시 영등포구 여의대로 56,150717,7325.0,,22,,126.92288839935301,37.5240279256375
26062857,나눔카페나사함복지재단,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26290,남구,2629055000,대연5동,2629010600,대연동,2629010600215010015,1,대지,1501,15.0,부산광역시 남구 대연동 1501-15,262903131009,부산광역시 남구 못골번영로,69,,2629010600115010015005439,,부산광역시 남구 못골번영로 69,608020,48429.0,,,,129.088775399535,35.141407234872496
26421865,카페베네,보정점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117057000,원효로2동,1117011700,원효로3가,1117011700200530005,1,대지,53,5.0,서울특별시 용산구 원효로3가 53-5,111703102007,서울특별시 용산구 원효로,138,,1117011700100530005017892,청진빌딩,서울특별시 용산구 원효로 138,140719,4366.0,,4,,126.958774403569,37.5337386598417
26429864,간단하지만특별한화피디Cafe,마마스상암MBC점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144074000,상암동,1144012700,상암동,1144012700216030000,1,대지,1603,,서울특별시 마포구 상암동 1603,114403113012,서울특별시 마포구 성암로,267,,1144012700116030000000001,(주)문화방송,서울특별시 마포구 성암로 267,121904,3925.0,,1,,126.890965756325,37.5811104968407
