상호명,도로명주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,경도,위도
셀렉토커피,서울특별시 동작구 국사봉2다길 17,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,신대방2동,126.92951040238,37.4976244113
메가커피,서울특별시 동작구 동작대로27길 18,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,사당2동,126.981000836142,37.4876456065385
남평집나주곰탕,서울특별시 동작구 성대로 18,음식,한식,설렁탕집,한식 음식점업,상도3동,126.932478974906,37.4996155602095
최구현의돼창마을,"서울특별시 동작구 국사봉길 12, (신대방동)",음식,한식,한식/백반/한정식,한식 음식점업,신대방2동,126.92868337957898,37.498517961814606
맨투맨,"서울특별시 동작구 만양로 84, (노량진동, 삼익주상복합아파트)",생활서비스,이/미용/건강,여성미용실,두발미용업,노량진1동,126.94512169294501,37.5109561958313
신영골프샵,서울특별시 동작구 상도로 303,소매,운동/경기용품소매,골프용품판매,운동 및 경기용품 소매업,상도1동,126.95002581926902,37.500809035342
미니스톱,서울특별시 동작구 상도로 56,소매,종합소매점,편의점,체인화 편의점,대방동,126.926496548584,37.4995973870351
이마트24,서울특별시 동작구 동작대로 335,소매,종합소매점,할인점,기타 대형 종합 소매업,사당2동,126.979948852334,37.5059639249899
미스포,서울특별시 동작구 흑석로8길 7,음식,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,흑석동,126.959646031795,37.5068230587121
행복한샵,"서울특별시 동작구 성대로 3, (상도동)",소매,가방/신발/액세서리,액세서리판매,"기타 섬유, 직물 및 의복액세서리 소매업",상도4동,126.93219719132601,37.5003428621796
바버앳,서울특별시 동작구 양녕로 247,생활서비스,이/미용/건강,남성미용실,이용업,상도1동,126.94658150032801,37.5028597925532
가꾸는동안,"서울특별시 동작구 사당로 259, (사당동)",생활서비스,이/미용/건강,비만/피부관리,,사당3동,126.976372751938,37.4837400785876
Ensoul,"서울특별시 동작구 양녕로22가길 16, (상도동)",생활서비스,이/미용/건강,비만/피부관리,,상도4동,126.943695166154,37.4949948914244
금강회수산,서울특별시 동작구 시흥대로 658,음식,일식/수산물,횟집,한식 음식점업,신대방1동,126.908060943718,37.4903638799896
갬성,서울특별시 동작구 사당로26길 111,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,사당1동,126.978079206371,37.4788260851307
팬톤라운지,서울특별시 동작구 사당로 186-4,음식,패스트푸드,패스트푸드,그외 기타 음식점업,사당5동,126.969011072262,37.4854421304926
상위권수학교습소,"서울특별시 동작구 여의대방로 188-1, (대방동)",학문/교육,학원-보습교습입시,학원-입시,일반 교과 학원,대방동,126.921993074816,37.503692180031
엘세븐헤어,"서울특별시 동작구 상도로 99, (상도동)",생활서비스,이/미용/건강,여성미용실,두발미용업,상도3동,126.93139393238899,37.500362629814404
베트남쌀국수포냐,서울특별시 동작구 보라매로 105,음식,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,신대방2동,126.927716806306,37.4988876319548
상도전통시장,서울특별시 동작구 상도로47길 4,소매,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,상도1동,126.951434873169,37.49952404038871
삼성래미안공인중개사사무소,서울특별시 동작구 상도로53길 8,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,상도1동,126.954040114668,37.5008536590257
기린연습실,서울특별시 동작구 동작대로35길 12,학문/교육,학원-음악미술무용,피아노/바이올린/기타,예술 학원,사당2동,126.981645391225,37.49097605051929
네네치킨,"서울특별시 동작구 성대로17길 75, (상도동)",음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,상도4동,126.93449273333401,37.5003635904473
후이즈부동산중개,서울특별시 동작구 만양로 84,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,노량진1동,126.94512169294501,37.5109561958313
이수커피,서울특별시 동작구 동작대로23길 13,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,사당1동,126.98108211128401,37.4841592298646
컴포즈커피,서울특별시 동작구 동작대로 107,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,사당2동,126.981813557486,37.486084780462605
